25 20
#############            
#...........#    ########
#...s...s...######.....a#
#....t.........D........#
#...........######......#
#.....s.....#    #..c...#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#  
    #..#           #..#  
    #..#         ###..###
  ###..####      #......#
  #..p....#      #....h.#
  #...k...#      #......#
  #.......#      #..t...#
  #...w...#      #....t.#
  #.......#      #.bbb..#
  #......S#      #bbbbb.#
  #########      ###G####
